Comment	Designator	Supplier Name	Supplier PN	Quantity	Footprint	Package / Case

"100nF"	"C1, C6, C7, C14, C16, C38, C41, C44, C47, C60, C62, C63, C64, C66, C69, C70, C71"	"Digikey"	"490-1519-1-ND"	"17"	"PCB-1608"	"0603 (1608 Metric)"
"470nF"	"C2, C10"	"Digikey"	"490-3291-1-ND"	"2"	"PCB-1608"	"0603 (1608 Metric)"
"4.7uF"	"C3, C11"	"Digikey"	"490-9962-1-ND"	"2"	"PCB-2012"	"0805 (2012 Metric)"
"470pF"	"C4, C15"	"Digikey"	"490-1443-1-ND"	"2"	"PCB-1608"	"0603 (1608 Metric)"
"47uF"	"C5, C37, C39, C40"	"Digikey"	"478-3079-1-ND, 478-3079-1-ND, 478-3079-1-ND, 478-9009-1-ND"	"4"	"CAP-POL-3216"	"1206 (3216 Metric)"
"10nF"	"C8, C17, C42, C45, C48, C72"	"Digikey"	"490-1512-1-ND"	"6"	"PCB-1608"	"0603 (1608 Metric)"
"1nF"	"C9, C18, C43, C46, C49, C50, C51, C52, C61, C65, C67, C73"	"Digikey"	"490-1494-1-ND, 490-1494-1-ND, 490-1494-1-ND, 490-1494-1-ND, 490-1494-1-ND, 490-1494-1-ND, 490-1494-1-ND, 490-8275-1-ND, 490-1494-1-ND, 490-1494-1-ND, 490-1494-1-ND, 490-1494-1-ND"	"12"	"PCB-1608"	"0603 (1608 Metric)"
"10uF"	"C12"	"Digikey"	"399-5157-1-ND"	"1"	"CAP-POL-3216"	"1206 (3216 Metric)"
"47uF"	"C13, C74"	"Digikey"	"490-5528-1-ND"	"2"	"PCB-3216"	"1206 (3216 Metric)"
"47pF"	"C19, C55, C57"	"Digikey"	"490-1419-1-ND, 490-1343-1-ND, 490-1419-1-ND"	"3"	"PCB-1608"	"0603 (1608 Metric)"
"1500pF"	"C20, C23"	"Digikey"	"490-1455-1-ND"	"2"	"PCB-1608"	"0603 (1608 Metric)"
"100pF"	"C21, C22, C28, C30"	"Digikey"	"490-1427-1-ND"	"4"	"PCB-1608"	"0603 (1608 Metric)"
"1uF"	"C26"	"Digikey"	"490-3900-1-ND"	"1"	"PCB-1608"	"0603 (1608 Metric)"
"NC"	"C27"	"NA"	"NA"	"1"	"PCB-2012"	"0603 (1608 Metric)"
"NC"	"C29, C35, C53, C58, C59, R18, R20, R25, R26, R40"	"NA"	"NA"	"10"	"PCB-1608"	"0603 (1608 Metric)"
"100uF"	"C34"	"Digikey"	"490-10510-1-ND"	"1"	"PCB-2012"	"0805 (2012 Metric)"
"62pF"	"C54"	"Digikey"	"490-1346-1-ND"	"1"	"PCB-1608"	"0603 (1608 Metric)"
"15pF"	"C56"	"Digikey"	"490-13359-1-ND"	"1"	"PCB-1608"	"0603 (1608 Metric)"
"39pF"	"C75, C78"	"Digikey"	"490-1341-1-ND"	"2"	"PCB-1608"	"0603 (1608 Metric)"
"27pF"	"C76, C77"	"Digikey"	"490-1337-1-ND"	"2"	"PCB-1608"	"0603 (1608 Metric)"
"5~20pF"	"CV1, CV2"	"Digikey"	"490-7154-ND"	"2"	"PCB-TZC3"	"Rectangular 4.50mm x 3.20mm"
"B220A"	"D1, D2, D3"	"Digikey"	"B220A-FDICT-ND"	"3"	"D-SMA"	"SMA (DO-214AC)"
"TVS-SMD"	"D4"	"Digikey"	"490-9330-1-ND"	"1"	"PCB-1005"	"0402 (1005 Metric)"
"LED-GREEN"	"D5, D8"	"Digikey"	"160-1426-1-ND"	"2"	"PCB-LED-2012"	"0805 (2012 Metric)"
"LED-RED"	"D6"	"Digikey"	"160-1427-1-ND"	"1"	"PCB-LED-2012"	"0805 (2012 Metric)"
"LED-YELLOW"	"D7"	"Digikey"	"160-1428-1-ND"	"1"	"PCB-LED-2012"	"0805 (2012 Metric)"
"FIX PCB"	"F1, F2, F3, F4"	""	""	"4"	"PCB-FIX-ROUND"	""
"FIX PA"	"F5"	""	""	"1"	"PCB-FIX-ROUND"	""
